id,lab,image,question,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9,answer10
listReview,lab2,,Suppose our singly linked list maintained <em>only<\/em> a head pointer and <strong>no<\/strong> tail pointer. What would be the worst-case runtime of <code>last()<\/code>?,C|O(n),O(1),O(n<sup>2<\/sup>),O(log n),,,,,,
listReview,lab2,,What is the worst-case runtime of <em>inserting<\/em> at the front of an <em>array-based list<\/em>?,C|O(n),O(1),O(n<sup>2<\/sup>),O(log n),,,,,,
listReview,lab2,,What is the worst-case runtime of <em>removeLast()<\/em> in a <em>doubly-linked list<\/em> that has both a front and tail pointer?,O(n),C|O(1),O(n<sup>2<\/sup>),O(log n),,,,,,
stackADT,lab3,,What are the contents of the following <strong>stack<\/strong> after performing the operations below?<br><code>// Start with an empty stack<br>stack.push(3)<br>stack.push(2)<br>stack.pop()<br>stack.push(1)<br>stack.top()<br>stack.pop()<\/code>,C|(bottom) [3] (top),"(bottom) [3, 1] (top)","(bottom) [3, 2] (top)",(bottom) [1] (top),,,,,,
linkedStack,lab3,,"When implementing a stack as a <strong>singly-linked list<\/strong> with both head and tail pointers, what is the worst-case runtime of performing <code>top()<\/code> if the <em>top<\/em> of the stack is at the <strong>front<\/strong> of the list?",C|O(1),O(n),O(n<sup>2<\/sup>),O(log n),,,,,,
linkedStack,lab3,,"When implementing a stack as a <strong>singly-linked list<\/strong> with both head and tail pointers, what is the worst-case runtime of performing <code>push(e)<\/code> if the <em>top<\/em> of the stack is at the <strong>tail<\/strong> of the list?",C|O(1),O(n),O(n<sup>2<\/sup>),O(log n),,,,,,
linkedStack,lab3,,"When implementing a stack as a <strong>singly-linked list<\/strong> with both head and tail pointers, what is the worst-case runtime of performing <code>pop()<\/code> if the <em>top<\/em> of the stack is at the <strong>tail<\/strong> of the list?",C|O(n),O(1),O(n<sup>2<\/sup>),O(log n),,,,,,
queueADT,lab3,,What are the contents of the following <strong>queue<\/strong> after performing the operations below?<br><code>// Start with an empty queue<br>q.enqueue(3)<br>q.enqueue(2)<br>q.dequeue()<br>q.enqueue(1)<br>q.front()<br>q.enqueue(4)<\/code>,"C|(front) [2, 1, 4] (back)","(front) [2, 1] (back)","(front) [4, 1, 2] (back)","(front) [2, 4, 1] (back)",,,,,,
circularBuffer,lab3,,What is the worst-case performance of <code>dequeue()<\/code> in a dynamically resizing <strong>array-based circular buffer<\/strong>?,C|O(1),O(n),O(n<sup>2<\/sup>),O(log n),,,,,,
stackQueueReview,lab3,,What software design pattern allowed you to delegate your <code>LinkedStack<\/code> implemention to your existing <code>SinglyLinkedList<\/code> implementation?,C|adapter pattern,model-view-controller pattern,singleton pattern,strategy pattern,,,,,,
stackQueueReview,lab3,,Suppose you implement a <strong>stack<\/strong> as a <strong>positional list<\/strong>. What is the worst-case runtime of the <code>push(element)<\/code> operation if the <em>top<\/em> of the stack is at the front of the positional list?,C|O(1),O(n),O(log n),O(n<sup>2<\/sup>),,,,,,
stackQueueReview,lab3,,Suppose you implement a <strong>queue<\/strong> as a <strong>positional list<\/strong>. What is the worst-case runtime of the <code>dequeue()<\/code> operation if the <em>front<\/em> of the queue is at the <strong>end<\/strong> of the positional list?,C|O(1),O(n),O(log n),O(n<sup>2<\/sup>),,,,,,
mergesort,lab4,,What is the worst-case runtime of <strong>mergesort<\/strong> if the elements are <em>already<\/em> sorted in the desired order?,O(n<sup>2<\/sup>),C|O(n log n),O(n),O(log n),O(n<sup>3<\/sup>),,,,,
mergesort,lab4,,What is the worst-case runtime of <strong>mergesort<\/strong> if the elements are originally in a <em>random<\/em> order?,O(n<sup>2<\/sup>),C|O(n log n),O(n),O(log n),O(n<sup>3<\/sup>),,,,,
quicksort,lab4,,"What is the worst-case runtime of <strong>quicksort<\/strong> if the elements are <em>already<\/em> sorted in the desired order, and the first element is selected as the pivot each time?",C|O(n<sup>2<\/sup>),O(n log n),O(n),O(log n),O(n<sup>3<\/sup>),,,,,
quicksort,lab4,,"What is the <strong>average<\/strong> runtime of <strong>quicksort<\/strong> if the elements are <em>already<\/em> sorted in the desired order, and a random pivot element is selected each time?",O(n<sup>2<\/sup>),C|O(n log n),O(n),O(log n),O(n<sup>3<\/sup>),,,,,
quicksort,lab4,,"When performing <strong>quicksort<\/strong> and selecting the smallest element to be the pivot each time, the algorithm perfoms exactly the same as what other sorting algorithm?",C|selection sort,insertion sort,bubble sort,mergesort,radix sort,,,,,
recursiveSortingReview,lab4,,Which of the following terms correctly describe(s) the <strong>mergesort<\/strong> algorithm presented in this lab?,C|stable,C|in-place,unstable,distributed,C|recursive,,,,,
recursiveSortingReview,lab4,,Which of the following terms correctly describe(s) the <strong>quicksort<\/strong> algorithm presented in this lab?,stable,C|in-place,C|unstable,distributed,C|recursive,,,,,
recursiveSortingReview,lab4,,Which of the following recurrence relations describes the worst-case number of comparisons performed in <strong>mergesort<\/strong>?,C|T(n) = 0  for n < 2; T(n) = 2T(n/2)+n-1  for n >= 2,T(n) = 0  for n < 2; T(n) = T(n-1)+n-1  for n >= 2,T(n) = 0  for n < 2; T(n) = T(n/2)+n-1  for n >= 2,T(n) = 0  for n < 2; T(n) = 2T(n-1)+n-1  for n >= 2,,,,,,
recursiveSortingReview,lab4,,Which of the following recurrence relations describes the worst-case number of comparisons performed in <strong>quicksort<\/strong>?,T(n) = 0  for n < 2; T(n) = 2T(n/2)+n-1  for n >= 2,C|T(n) = 0  for n < 2; T(n) = T(n-1)+n-1  for n >= 2,T(n) = 0  for n < 2; T(n) = T(n/2)+n-1  for n >= 2,T(n) = 0  for n < 2; T(n) = 2T(n-1)+n-1  for n >= 2,,,,,,
listMapReview,lab5,,Which of the following data structures implement <strong>sorted maps<\/strong>?,C|search table,C|skip list,linked list,,,,,,,
sortedMap,lab5,,What is the advantage of using a <em>sorted map<\/em> instead of an <em>unsorted<\/em> map?,C|lookUps are more efficient in sorted maps,sorted maps use less space,lookUps are less efficient in sorted maps,sorted maps take up more space,unsorted maps do not allow key-value entries,,,,,
listMapReview,lab5,,Which list-based map data structure features the most efficient <em>average-case<\/em> (expected) performance for <code>remove(key)<\/code>?,C|skip list,search table,unordered arraylist map,unordered linked map,,,,,,
listMapReview,lab5,,Which of the following map data structures have <strong>average-case<\/strong> (expected) O(n) performance for the <strong>remove(k)<\/strong> operation?,C|unordered arralist map,C|unordered linked map,C|search table,skip list,,,,,,
arrayMap,lab5,,The <strong>transpose<\/strong> heuristic helps improve which of the following costs?,C|average-case,worst-case,best-case,,,,,,,
arrayMap,lab5,,"Suppose we start with an unordered arraylist implementation of a map that has keys in the order <code>[ dog, cat, bird, snake ]<\/code>. What are the contents of the list after performing the following operations, assuming the <em>transpose<\/em> heuristic is implemented?<br><code>map.get(\""cat\"")<br>map.get(\""snake\"")<br>map.get(\""snake\"")<br>map.get(\""bird\"")<\/code>","C|[ cat, snake, bird, dog ]","[ cat, bird, dog, snake ]","[ snake, dog, bird, cat ]","[ cat, snake, dog, bird ]",,,,,,
linkedMap,lab5,,Which of the following operations have worst-case O(n) performance in an unordered linked map?,"C|<code>put(k,v)<\/code>",C|<code>remove(k)<\/code>,C|<code>get(k)<\/code>,<code>size()<\/code>,,,,,,
linkedMap,lab5,,"Suppose we start with an unordered linkedlist implementation of a map that has keys in the order <code>[ dog, cat, bird, snake ]<\/code>. What are the contents of the list after performing the following operations, assuming the <em>move-to-front<\/em> heuristic is implemented?<br><code>map.get(\""cat\"")<br>map.get(\""snake\"")<br>map.get(\""snake\"")<br>map.get(\""bird\"")<\/code>","C|[ bird, snake, cat, dog ]","[ bird, cat, dog, snake ]","[ bird, dog, snake, cat ]","[ cat, snake, dog, bird ]",,,,,,
searchTable,lab5,,What special algorithm is used to quickly locate entries in a search table?,C|binary search,sequential search,mergesort,quicksort,,,,,,
searchTable,lab5,,"What keys are examined when performing <code>get(17)<\/code> in a search table with keys <code>[ 5, 10, 15, 20, 25, 30, 35 ]<\/code>?",C| 20 -- 10 -- 15,20 -- 15 -- 10,20 -- 5 -- 10,5 -- 10 -- 15,5 -- 10 -- 15 -- 20,,,,,
skipList,lab5,,What type of algorithm is used when inserting into skip lists?,C|randomized,divide-and-conquer,brute-force,greedy,dynamic programming,,,,,
skipList,lab5,,What is <em>expected<\/em> space usage of a skip list that stores <em>n<\/em> entries?,C|O(n),O(log n),O(1),O(n<sup>2<\/sup>),,,,,,
skipList,lab5,,Which of the following operations have average-case O(log n) performance in a skip list map?,"C|<code>put(k,v)<\/code>",C|<code>remove(k)<\/code>,C|<code>get(k)<\/code>,<code>size()<\/code>,,,,,,
treeADT,lab6,animalTree,What is returned from <code>tree.numChildren(tree.root())<\/code>?,C|3,1,2,4,,,,,,
treeADT,lab6,animalTree,What is returned from <code>tree.children(tree.root())<\/code>?,"C|<code>[ Position[cat], Position[bird], Position[horse] ]<\/code>","<code>[ cat, bird, horse ]<\/code>","<code>[ Position[dog], Position[bird], Position[goat] ]<\/code>","<code>[ dog, bird, goat ]<\/code>",,,,,,
treeADT,lab6,animalTree,"What is returned after performing the following operations:<br><code>//Assume position p = Position[lizard]<br>Position x = tree.addChild(p,\""frog\"")<br>tree.parent(tree.parent(tree.parent(x)))<\/code>",C|Position[dog],dog,Position[bird],bird,Position[lizard],lizard,,,,
treeADT,lab6,animalTree,What is the height of the tree?,C|2,3,1,undefined,4,8,,,,
traversals,lab6,animalTree,What is the <strong>postorder<\/strong> traversal of the tree?,"C|[ cat, snake, goat, lizard, bird, fish, horse, dog]","[ snake, goat, lizard, fish, bird, cat, horse, dog ]","[ dog, cat, bird, snake, goat, lizard, fish, horse ]","[ dog, cat, bird, horse, snake, goat, lizard, fish ]",,,,,,
traversals,lab6,animalTree,What is the <strong>levelorder<\/strong> traversal of the tree?,"[ cat, snake, goat, lizard, bird, fish, horse, dog]","[ snake, goat, lizard, fish, bird, cat, horse, dog ]","[ dog, cat, bird, snake, goat, lizard, fish, horse ]","C|[ dog, cat, bird, horse, snake, goat, lizard, fish ]",,,,,,
traversals,lab6,animalTree,What is the <strong>preorder<\/strong> traversal of the tree?,"[ cat, snake, goat, lizard, bird, fish, horse, dog]","[ snake, goat, lizard, fish, bird, cat, horse, dog ]","C|[ dog, cat, bird, snake, goat, lizard, horse, fish ]","[ dog, cat, bird, horse, snake, goat, lizard, fish ]",,,,,,
binaryTreeADT,lab6,binaryAnimalTree,"What is returned after performing the following operations:<br><code>//Assume position p = Position[cat]<br>Position x = tree.addRight(p,\""frog\"")<br>tree.sibling(tree.left(tree.right(tree.parent(tree.parent(x)))))<\/code>",C|Position[lizard],lizard,Position[snake],snake,Position[fish],fish,,,,
linkedBinaryTree,lab6,binaryAnimalTree,What is the <strong>inorder<\/strong> traversal of the tree?,"C|[ horse, cat, dog, snake, fish, bird, lizard ]","[ horse, cat, snake, fish, bird, lizard, dog ]","[ horse, cat, dog, fish, snake, lizard, bird ]","[ horse, cat, dog, fish, snake, bird, lizard ]",,,,,,
treeReview,lab6,,What is the height of the tallest possible tree that contains <em>n<\/em> nodes?,C|n-1,n,n+1,n/2,,,,,,
treeReview,lab6,,"What is the height of a tree that contains only a single node (in other words, a root node that has no children)?",C|0,undefined,1,2,,,,,,
treeReview,lab6,,What is the height of the shortest possible binary tree if the tree contains a total of 7 nodes?,C|2,7,3,1,4,,,,,
binarySearchTree,lab7,animalBSTinsert,"Where would \""hyena\"" be inserted into the binary search tree?",C|node 5,node 4,node 3,node 6,node 7,node 8,node 1,node 2,,
binarySearchTree,lab7,animalBST,"What would be the new root element if <code>tree.remove(\""horse\"")<\/code> were performed?",C|iguana,koala,elk,lizard,cat,,,,,
binarySearchTree,lab7,animalBST,"What would be the element in <code>tree.left(tree.right(tree.root()))<\/code> if <code>tree.remove(\""horse\"")<\/code> were performed?",iguana,C|koala,elk,lizard,cat,,,,,
binarySearchTree,lab7,animalBST,"What would be the new element in the <em>root position's left child<\/em> if <code>tree.remove(\""cat\"")<\/code> were performed?",C|dog,elk,bird,horse,iguana,,,,,
binarySearchTree,lab7,animalBST,What is the <strong>inorder<\/strong> traversal of a binary search tree?,"[ bird, cat, dog, elk, horse, koala, iguana, lizard, snake ]","C|[ bird, cat, dog, elk, horse, iguana, koala, lizard, snake ]","[ elk, koala, bird, dog, iguana, snake, cat, lizard, horse ]","[ horse, cat, lizard, bird, dog, iguana, snake, elk, koala ]",,,,,,
binarySearchTree,lab7,,"For this course, when deleting from a binary search tree, we will always replace (if needed) with ____.",C|inorder successor,inorder predecessor,preorder successor,preorder predecessor,postorder succesor,postorder predecessor,,,,
avlTree,lab7,avlImbalance,"Suppose the node with element \""koala\"" was just inserted into the AVL tree (no restructurings have taken place yet). In which node is the <em>height-balance<\/em> property now violated?",C|horse,koala,iguana,lizard,cat,snake,,,,
avlTree,lab7,avlImbalance,"What node would be labeled \""z\"" when performing <strong>trinode restructuring<\/strong>?",C|horse,koala,iguana,lizard,cat,snake,,,,
avlTree,lab7,avlImbalance,"What node would be labeled \""y\"" when performing <strong>trinode restructuring<\/strong>?",horse,koala,iguana,C|lizard,cat,snake,,,,
avlTree,lab7,avlImbalance,"What node would be labeled \""x\"" when performing <strong>trinode restructuring<\/strong>?",horse,koala,C|iguana,lizard,cat,snake,,,,
avlTree,lab7,avlImbalance,What element is in the root node <em>after<\/em> performing <strong>trinode restructuring<\/strong>?,horse,koala,C|iguana,lizard,cat,snake,,,,
avlTree,lab7,avlImbalance,What element is in <code>tree.left(tree.right(tree.root())) <em>after<\/em> performing <strong>trinode restructuring<\/strong>?,horse,C|koala,iguana,lizard,cat,snake,,,,
splayTree,lab7,splayTree,"Suppose the node with element \""koala\"" was just inserted into the <strong>splay tree<\/strong> (no restructurings have taken place yet). What is the element in the node that will be splayed?",C|koala,horse,iguana,lizard,cat, snake,,,,
splayTree,lab7,splayTree,What is the element in <code>tree.root()<\/code> after performing <code>splay<\/code>?,C|koala,horse,iguana,lizard,cat, snake,,,,
splayTree,lab7,splayTree,What is the first rotation (or set of rotations) that will be performed when splaying?,C|zig-zag,zig-zig,zig,zag,no rotations will be performed,zig-zag-zoom,,,,
splayTree,lab7,splayTree,What is the element in <code>tree.right(tree.left(tree.root()))<\/code> after completing the <code>splay<\/code> operation?,koala,horse,C|iguana,lizard,cat, snake,,,,
splayTree,lab7,splayAnimals,"What is the element in the node that is splayed when performing <code>tree.remove(\""horse\"")<\/code?",koala,horse,iguana,C|lizard,cat, snake,,,,
rbTree,lab7,rbTree1,Is the tree a valid red-black tree?,C|No,Yes,,,,,,,,
rbTree,lab7,rbTree1,What red-black tree property (or properties) are violated in the tree?,C|root property,C|black depth property,red property,leaf property,,,,,,
rbTree,lab7,rbTree2,Is the tree a valid red-black tree?,C|Yes,No,,,,,,,,
rbTree,lab7,rbTree2,What <em>elements<\/em> are in the root node of the corresponding 2-4 tree represented by this red-black tree?,"C|[cat, horse]","[ horse, cat ]","[ cat, horse, lizard ]","[ horse, lizard ]",,,,,,
rbTree,lab7,rbTree2,"What red-black tree property (or properties) are violated if we insert \""tiger\"" into the tree?",C|red property,root property,black-depth property,leaf property,,,,,,
rbTree,lab7,rbTreeTiger,"If the red-black tree were represented by a corresponding 2-4 tree, what condition would be represented after inserting \""tiger\""?",C|overflow,underflow,transfer,fusion,,,,,,
rbTree,lab7,rbTreeDelete,"If the red-black tree were represented by a corresponding 2-4 tree, what condition would be represented after deleting \""bird\""?",overflow,C|underflow,split,miscoloring,,,,,,
rbTree,lab7,rbTreeDelete,What condition is represented by <code>tree.left(tree.left(tree.root()))<\/code>?,C|double-black,double-red,double leaf,miscoloring,,,,,,
searchTreeReview,lab7,,Which of the following search trees have <strong>worst-case<\/strong> height of O(log n)?,C|AVL tree,C|red-black tree,C|2-4 Tree,splay tree,binary search tree,,,,,
searchTreeReview,lab7,,What is the amortized cost of <em>each<\/em> insertion into a splay tree?,C|O(log n),O(n),O(n<sup>2<\/sup>),O(1),,,,,,
searchTreeReview,lab7,,Which of the following data structures is/are <strong>binary search trees<\/strong>?,C|AVL tree,C|splay tree,C|red-black tree,2-4 tree,,,,,,
searchTreeReview,lab7,,Which of the following data structures is/are <em>always perfectly balanced<\/em>?,C|2-4 tree,AVL tree,splay tree,red-black tree,,,,,,
searchTreeReview,lab7,,"The <strong>worst-case<\/strong> performance of <code>put<\/code>, <code>get<\/code>, and <code>remove<\/code> in a search tree depends on _____.",C|the height of the tree,C|the length of the path from the root to the deepest leaf node,the median key in the tree,the maximum key in the tree,the leftmost entry in the tree,,,,,
hashMapReview,lab8,,Which of the following <strong>collision resolution<\/strong> strategies were <em>not<\/em> discussed in class?,C|cuckoo hashing,double hashing,coalesced chaining,linear probing,separate chaining,,,,,
abstractHashMap,lab8,,"What is the <em>expected</em> performance of <code>put<\/code>, <code>get<\/code>, and <code>remove<\/code> in a hash map?",C|O(1),O(n),O(log n),O(n log n),O(n<sup>2<\/sup>),,,,,
hashMapReview,lab8,,Which of the following <strong>collision resolution<\/strong> strategies are classified as <em>open addressing<\/em> strategies?,C|double hashing,C|linear probing,separate chaining,coalesced chaining,coalesced chaining with a cellar,,,,,
separateChaining,lab8,,Which data structure would be <em>most efficient<\/em> (in the worst-case) as the secondary map for a <strong>separate chaining hash map<\/strong>?,C|red-black tree,C|AVL tree,search table,linked list,,,,,,
abstractHashMap,lab8,,What is the correct order of steps required for hashing?,C| calculate hash code -- compress the hash code -- store in the hash table,calculate the compression function -- add the hash code -- store in the hash table,calculate the hash function -- subtract the compression function -- store in the hash table,calculate the hash code -- add the compression function -- store in the hash table,,,,,,
abstractHashMap,lab8,,Which of the following techniques were discussed in class for calculating <em>hash codes<\/em>?,C|additive hashing,C|polynomial hashing,C|cyclic shifting,multiply and divide,golden ratio,division,,,,
abstractHashMap,lab8,,Which of the following techniques were discussed in class for <em>compressing<\/em> hash codes?,additive hashing,polynomial hashing,cyclic shifting,C|multiply and divide,C|golden ratio,C|division,,,,
hashMapReview,lab8,,Which of the following <strong>hash table capacity<\/strong> options would be the best choice to use if our hash table uses <em>polynomial hashing with r = 24<\/em> and uses <em>division compression<\/em>?,C|67,25,96,576,,,,,,
separateChaining,lab8,,What is the <strong>worst-case<\/strong> runtime of a single <code>remove<\/code> from a hash map that uses <em>separate chaining<\/em> where the secondary map is a <em>splay tree<\/em>?,C|O(n),O(1),O(log n),O(n log n),O(n<sup>2<\/sup>),,,,,
separateChaining,lab8,,Which of the following best describes the <em>worst-case scenario<\/em> in terms of performance of a hash map that uses separate chaining?,C|all entries have different keys and hash to the same bucket,each entry has a different key and hashes to a different bucket,all entries have the same key,all entries have the same value,,,,,,
linearProbing,lab8,emptyHashTable,"Assume <em>h(k) = the number of characters in the key - 3<\/em>. Suppose we <code>put<\/code> the following entries in the hash map (using linear probing) in the following order: elk, horse, bird, elephant, camel, goldfish, bat. At which index would the entry with key \""bat\"" be stored?",C|4,1,3,5,7,6,0,2,,
linearProbing,lab8,linearProbingDelete,"Assume <em>h(k) = the number of characters in the key - 3<\/em>. Suppose we perform <code>put(\""dog\"")<\/code> into the hash map (using linear probing). At which index would the entry with key \""dog\"" be stored?",C|1,4,3,5,7,6,0,2,,
pqADT,lab9,,<strong>TRUE<\/strong> or <strong>FALSE<\/strong>: It is possible to remove an arbitrary entry from a priority queue regarless of where the entry is located in the priority queue.,C|FALSE,TRUE,,,,,,,,
pqADT,lab9,,What are the two phases of <strong>PQ-sort<\/em>?,C| insert every entry into a priority queue; then remove every entry from the priority queue,insert every entry into a hash table; then remove every entry from the hash table,insert every entry into a priority queue,insert every entry into a binary search tree,,,,,,
pqADT,lab9,,<strong>Insertion sort<\/strong> is a variable of <em>PQ-sort<\/em> where the priority queue is which data structure?,C|ordered list,unordered list,search tree,hash table,heap,,,,,
pqADT,lab9,,<strong>Selection sort<\/strong> is a variable of <em>PQ-sort<\/em> where the priority queue is which data structure?,C|unordered list,ordered list,search tree,hash table,heap,,,,,
